red;0.0;1.0;1.0
green;120.0;1.0;1.0
blue;240.0;1.0;1.0
white;0.0;0.0;1.0
black;0.0;0.0;0.0
dark blue;240.0;1.0;0.3
yellow;59.0;1.0;0.6
light blue;240.0;0.5;1.0
magenta;300.0;1.0;0.6
warm white;60.0;0.68;0.95
cyan;180.0;1.0;0.5
cold white;180.0;0.0;1.0
indigo;275.0;1.0;0.25
lime;75.0;1.0;0.5
uv;257.0;0.24;0.47
amber;45.0;1.0;0.5
